Participant, ROI, FA, MSD, MSK, NDI, ODI, Fiso
1,Middle_Cerebellar_Ped,0.5835953,0.9439247,1.3793089,0.8660101,0.2283786,0.2100586
1,Pontine_Crossing_Tract,0.5612059,0.8803441,1.4145142,0.8881536,0.2528949,0.1686476
1,Corpus_Callosum_Genu,0.5511371,0.8765485,1.3619272,0.8297673,0.2473821,0.1667591
1,Corpus_Callosum_Body,0.5754950,0.9114960,1.3411728,0.8266026,0.2269145,0.1807884
1,Corpus_Callosum_Splenium,0.5663710,1.0402820,1.3252101,0.8655182,0.2218611,0.2485601
1,Fornix_(Column&Body),0.5646716,0.8010315,1.3772537,0.8299429,0.2563042,0.1196398
1,Corticospinal_Tract_R,0.6081265,0.8655814,1.4140454,0.8834759,0.2231338,0.1703839
1,Corticospinal_Tract_L,0.5597689,0.8886462,1.3724270,0.8419618,0.2443609,0.1636479
1,Medial_Lemniscus_R,0.4972533,0.9717966,1.2635416,0.8303732,0.2672371,0.1972038
1,Medial_Lemniscus_L,0.5613087,0.9285765,1.3894419,0.8845962,0.2447189,0.2056535
1,Inf_Cerebellar_Ped_R,0.5644252,0.9537860,1.3403682,0.8505264,0.2315094,0.1991929
1,Inf_Cerebellar_Ped_L,0.5919655,0.8532197,1.4574121,0.8995055,0.2417898,0.1617200
1,Sup_Cerebellar_Ped_R,0.5448160,0.9309730,1.3438153,0.8668771,0.2527054,0.1941709
1,Sup_Cerebellar_Ped_L,0.5504627,0.8854164,1.3575833,0.8349183,0.2476859,0.1713531
1,Cerebral_Ped_R,0.5421953,0.9525680,1.3742579,0.8644120,0.2553902,0.2063993
1,Cerebral_Ped_L,0.5454501,0.9449341,1.2861483,0.7905082,0.2374137,0.1959542
1,Ant_Internal_Capsule_R,0.5604588,0.8289435,1.4081070,0.8476394,0.2536061,0.1428319
1,Ant_Internal_Capsule_L,0.5558945,0.9476197,1.2901720,0.7978670,0.2296368,0.1905719
1,Post_Internal_Capsule_R,0.5715318,0.9167478,1.3685738,0.8529677,0.2338603,0.1941432
1,Post_Internal_Capsule_L,0.5750974,0.8970471,1.3700008,0.8433474,0.2335460,0.1781602
1,Retrolent_Internal_Capsule_R,0.5643012,0.9386517,1.3076108,0.8050191,0.2274333,0.1885314
1,Retrolent_Internal_Capsule_L,0.5594897,0.8828176,1.4186249,0.8807096,0.2533875,0.1828183
1,Ant_Corona_Radiata_R,0.5847040,0.8386741,1.4643504,0.8848647,0.2446552,0.1562390
1,Ant_Corona_Radiata_L,0.5076697,0.9846149,1.2163267,0.7733880,0.2533165,0.1941025
1,Sup_Corona_Radiata_R,0.5793715,0.9267815,1.3828207,0.8662404,0.2297990,0.1935714
1,Sup_Corona_Radiata_L,0.5625004,0.8438874,1.4604642,0.9037396,0.2658711,0.1577933
1,Post_Corona_Radiata_R,0.5434108,0.8571199,1.4451071,0.8963932,0.2692059,0.1626490
2,Middle_Cerebellar_Ped,0.5771591,0.9214904,1.3307719,0.8204178,0.2258666,0.1862034
2,Pontine_Crossing_Tract,0.5279216,0.8532476,1.4237139,0.8850715,0.2784683,0.1625199
2,Corpus_Callosum_Genu,0.5813251,0.8851302,1.4321164,0.8891375,0.2411050,0.1831613
2,Corpus_Callosum_Body,0.5493678,0.9561557,1.3722829,0.8829479,0.2516802,0.2058258
2,Corpus_Callosum_Splenium,0.5672339,0.9160724,1.2809239,0.7862577,0.2252399,0.1713894
2,Fornix_(Column&Body),0.5478972,0.9111040,1.3401696,0.8370561,0.2469722,0.1770851
2,Corticospinal_Tract_R,0.5187252,0.9206942,1.2765437,0.7815193,0.2541957,0.1752961
2,Corticospinal_Tract_L,0.5764735,0.9373322,1.3880354,0.9026861,0.2398959,0.2026865
2,Medial_Lemniscus_R,0.5477674,0.8400883,1.4393289,0.8911505,0.2735441,0.1558919
2,Medial_Lemniscus_L,0.5527242,0.8998955,1.3766894,0.8435388,0.2515158,0.1851786
2,Inf_Cerebellar_Ped_R,0.5747564,0.9415223,1.3391101,0.8338998,0.2265320,0.2025463
2,Inf_Cerebellar_Ped_L,0.6000772,0.8438964,1.4024982,0.8458712,0.2276939,0.1519917
2,Sup_Cerebellar_Ped_R,0.5670942,0.9072268,1.3320364,0.8488477,0.2343489,0.1818176
2,Sup_Cerebellar_Ped_L,0.5154782,0.9647743,1.3928884,0.8883982,0.2716351,0.2196044
2,Cerebral_Ped_R,0.5891342,0.9456916,1.3009773,0.7916440,0.2071296,0.1870923
2,Cerebral_Ped_L,0.5003701,0.8683293,1.3373383,0.8667766,0.2904062,0.1569816
2,Ant_Internal_Capsule_R,0.5215656,0.8899246,1.3305082,0.8275173,0.2679241,0.1684354
